Fund Name,Region,Risk Level,Management Type,Number of Assets,Ongoing Charge (OCF),May 2019 - Apr 2020,May 2020 - Apr 2021,May 2021 - Apr 2022,May 2022 - Apr 2023,May 2023 - Apr 2024
LifeStrategy® 20% Equity Fund,Global,4,Index,26483,0.22%,5.75%,4.95%,-5.42%,-5.44%,2.92%
LifeStrategy® 40% Equity Fund,Global,4,Index,31030,0.22%,2.96%,11.07%,-3.07%,-3.56%,5.56%
LifeStrategy® 60% Equity Fund,Global,4,Index,29570,0.22%,0.18%,17.75%,-0.65%,-1.48%,8.79%
LifeStrategy® 80% Equity Fund,Global,5,Index,24069,0.22%,-2.65%,24.62%,2.00%,0.65%,12.01%
LifeStrategy® 100% Equity Fund,Global,5,Index,7029,0.22%,-5.40%,31.51%,4.80%,2.87%,15.31%
SustainableLife 40-50% Equity Fund,Global,4,Active,589,0.48%,,10.22%,,1.85%,6.87%
SustainableLife 60-70% Equity Fund,Global,4,Active,724,0.48%,-0.26%,19.29%,3.92%,3.70%,9.17%
SustainableLife 80-90% Equity Fund,Global,5,Active,464,0.48%,,,,5.60%,11.85%
Target Retirement 2015 Fund,Global,4,Index,29547,0.24%,1.67%,10.22%,-1.65%,-0.72%,5.52%
Target Retirement 2020 Fund,Global,4,Index,29547,0.24%,0.71%,14.34%,-0.93%,-0.61%,6.68%
Target Retirement 2025 Fund,Global,4,Index,26262,0.24%,0.20%,17.29%,-0.73%,-0.75%,8.13%
Target Retirement 2030 Fund,Global,4,Index,26258,0.24%,-0.52%,19.07%,-0.24%,-0.59%,9.16%
Target Retirement 2035 Fund,Global,4,Index,26258,0.24%,-1.21%,20.80%,0.43%,-0.08%,9.97%
Target Retirement 2040 Fund,Global,5,Index,26260,0.24%,-1.96%,22.55%,1.11%,0.39%,10.78%
Target Retirement 2045 Fund,Global,5,Index,24016,0.24%,,24.30%,1.77%,0.80%,11.57%
Target Retirement 2050 Fund,Global,5,Index,24016,0.24%,-2.53%,24.40%,1.94%,1.03%,12.07%
Target Retirement 2055 Fund,Global,5,Index,24018,0.24%,-2.59%,24.41%,1.93%,1.02%,12.08%
Target Retirement 2060 Fund,Global,5,Index,24016,0.24%,-2.58%,24.43%,1.93%,1.09%,12.10%
Target Retirement 2065 Fund,Global,5,Index,24016,0.24%,-2.48%,24.39%,1.90%,1.04%,12.07%
Active U.K. Equity Fund,UK,6,Active,82,0.45%,,34.36%,-12.68%,4.53%,2.40%
Emerging Markets Bond Fund,Emerging,5,Active,297,0.60%,,21.59%,-13.71%,1.54%,10.42%
Emerging Markets Stock Index Fund,Emerging,6,Index,1450,0.23%,-9.26%,35.05%,-10.24%,-6.72%,9.47%
ESG Developed Asia Pacific All Cap UCITS ETF,Asia-Pacific,6,Index,2113,0.17%,,,,,10.02%
ESG Developed Europe All Cap UCITS ETF,Europe,6,Index,1060,0.12%,,,,,11.29%
ESG Developed World All Cap Equity Index Fund,Global,5,Index,4354,0.20%,-0.92%,34.56%,1.98%,1.03%,19.05%
ESG Developed World All Cap Equity Index Fund (UK),Global,5,Index,4481,0.20%,,,2.15%,1.17%,19.20%
ESG Emerging Markets All Cap Equity Index Fund,Emerging,6,Index,3538,0.25%,,49.03%,-8.96%,-7.53%,9.48%
ESG Emerging Markets All Cap UCITS ETF,Emerging,6,Index,3532,0.24%,,,,,
ESG EUR Corporate Bond UCITS ETF,Global,4,Index,860,0.11%,,,,,5.07%
ESG Global All Cap UCITS ETF,Global,6,Index,5900,0.24%,,34.35%,-8.61%,0.32%,17.76%
ESG Global Corporate Bond Index Fund,Global,4,Index,5694,0.20%,,,,,2.58%
ESG Global Corporate Bond UCITS ETF,Global,4,Index,4715,0.15%,,4.05%,-2.00%,,2.71%
ESG North America All Cap UCITS ETF,North America,6,Index,1571,0.12%,,,,,22.85%
ESG USD Corporate Bond UCITS ETF,Global,4,Index,2371,0.16%,,3.60%,-3.93%,1.61%,4.25%
EUR Corporate Bond UCITS ETF,Europe,3,Index,3397,0.09%,-0.76%,4.87%,-7.91%,-4.43%,5.05%
